id	JP	EN	FR	IT	DE	ES
35	一定時間　{color(4)}赤のエレメント{color(0)}使用不可	{color(4)}Red Elements{color(0)} temporarily unusable!	{color(4)}Éléments rouges{color(0)} temporairement inutilisables !	{color(4)}Elementi Rossi{color(0)} temporaneamente inutilizzabili!	{color(4)}Rote Elemente{color(0)} vorübergehend gesperrt!	¡{color(4)}Elementos escarlata{color(0)} sellados temporalmente!
36	一定時間　{color(1)}回避率{color(0)}アップ	{color(1)}EVD%{color(0)} temporarily increased!	{color(1)}% ESQ.{color(0)} temporairement augmenté !	{color(1)}SCHIV.{color(0)} aumentata temporaneamente!	{color(1)}AW%{color(0)} vorübergehend erhöht!	¡{color(1)}% EVS{color(0)} aumentado temporalmente!
37	一定時間　{color(1)}回避率{color(0)}ダウン	{color(1)}EVD%{color(0)} temporarily decreased!	{color(1)}% ESQ.{color(0)} temporairement réduit !	{color(1)}SCHIV.{color(0)} diminuita temporaneamente!	{color(1)}AW%{color(0)} vorübergehend gesenkt!	¡{color(1)}% EVS{color(0)} reducido temporalmente!
38	一定時間　{color(6)}青のエレメント{color(0)}使用不可	{color(6)}Blue Elements{color(0)} temporarily unusable!	{color(6)}Éléments bleus{color(0)} temporairement inutilisables !	{color(6)}Elementi Blu{color(0)} temporaneamente inutilizzabili!	{color(6)}Blaue Elemente{color(0)} vorübergehend gesperrt!	¡{color(6)}Elementos índigo{color(0)} sellados temporalmente!
39	一定時間　{color(1)}攻撃力{color(0)}ダウン	{color(1)}ATK.{color(0)} temporarily decreased!	{color(1)}ATT.{color(0)} temporairement réduite !	{color(1)}ATT.{color(0)} diminuito temporaneamente!	{color(1)}ANG{color(0)} vorübergehend gesenkt!	¡{color(1)}ATQ{color(0)} reducido temporalmente!
40	一定時間　{color(1)}緑のエレメント{color(0)}使用不可	{color(1)}Green Elements{color(0)} temporarily unusable!	{color(1)}Éléments verts{color(0)} temporairement inutilisables !	{color(1)}Elementi Verdi{color(0)} temporaneamente inutilizzabili!	{color(1)}Grüne Elemente{color(0)} vorübergehend gesperrt!	¡{color(1)}Elementos esmeralda{color(0)} sellados temporalmente!
41	一定時間　{color(1)}防御力{color(0)}アップ	{color(1)}DEF.{color(0)} temporarily increased!	{color(1)}DÉF.{color(0)} temporairement augmentée !	{color(1)}DIF.{color(0)} aumentata temporaneamente!	{color(1)}ABW{color(0)} vorübergehend erhöht!	¡{color(1)}DEF{color(0)} aumentada temporalmente!
42	一定時間　物理攻撃無効	Physical attacks temporarily nullified!	Attaques physiques temporairement annulées !	Attacchi fisici temporaneamente inefficaci!	Physische Angriffe vorübergehend annulliert!	¡Ataques físicos anulados temporalmente!
43	一定時間　{color(5)}黄のエレメント{color(0)}使用不可	{color(7)}Yellow Elements{color(0)} temporarily unusable!	{color(5)}Éléments jaunes{color(0)} temporairement inutilisables !	{color(7)}Elementi Gialli{color(0)} temporaneamente inutilizzabili!	{color(7)}Gelbe Elemente{color(0)} vorübergehend gesperrt!	¡{color(7)}Elementos dorados{color(0)} sellados temporalmente!
44	一定時間　{color(1)}命中率{color(0)}アップ	{color(1)}HIT%{color(0)} temporarily increased!	{color(1)}% RÉUS.{color(0)} temporairement augmenté !	{color(1)}PREC.{color(0)} aumentata temporaneamente!	{color(1)}TRF%{color(0)} vorübergehend erhöht!	¡{color(1)}% de acierto{color(0)} aumentado temporalmente!
45	一定時間　{color(1)}命中率{color(0)}ダウン	{color(1)}HIT%{color(0)} temporarily decreased!	{color(1)}% RÉUS.{color(0)} temporairement réduit !	{color(1)}PREC.{color(0)} diminuita temporaneamente!	{color(1)}TRF%{color(0)} vorübergehend gesenkt!	¡{color(1)}% de acierto{color(0)} reducido temporalmente!
46	一定時間　{color(2)}黒のエレメント{color(0)}使用不可	{color(7)}Black Elements{color(0)} temporarily unusable!	{color(7)}Éléments noirs{color(0)} temporairement inutilisables !	{color(7)}Elementi Neri{color(0)} temporaneamente inutilizzabili!	{color(7)}Schwarze Elemente{color(0)} vorübergehend gesperrt!	¡{color(7)}Elementos negros{color(0)} sellados temporalmente!
47	一定時間　{color(1)}魔法防御力{color(0)}アップ	{color(1)}M. DEF.{color(0)} temporarily increased!	{color(1)}DÉF. M.{color(0)} temporairement augmentée !	{color(1)}DIF. MAG.{color(0)} aumentata temporaneamente!	{color(1)}M.ABW{color(0)} vorübergehend erhöht!	¡{color(1)}DEFM{color(0)} aumentada temporalmente!
48	一定時間　{color(1)}魔法防御力{color(0)}ダウン	{color(1)}M. DEF.{color(0)} temporarily decreased!	{color(1)}DÉF. M.{color(0)} temporairement réduite !	{color(1)}DIF. MAG.{color(0)} diminuita temporaneamente!	{color(1)}M.ABW{color(0)} vorübergehend gesenkt!	¡{color(1)}DEFM{color(0)} reducida temporalmente!
49	一定時間　エレメントのダメージが１．５倍に	Element damage times 1.5 temporarily!	Dégâts d'éléments temporairement multipliés par 1,5 !	Danno Elementi temporaneamente x1,5!	Schaden durch Elemente vorübergehend x 1,5!	¡Daño elemental multiplicado x 1,5 temporalmente!
50	一定時間　魔法攻撃無効	Magical attacks temporarily nullified!	Attaques magiques temporairement annulées !	Attacchi magici temporaneamente inefficaci!	Magische Angriffe vorübergehend annulliert!	¡Ataques mágicos anulados temporalmente!
51	一定時間　{color(7)}白のエレメント{color(0)}使用不可	{color(7)}White Elements{color(0)} temporarily unusable!	{color(7)}Éléments blancs{color(0)} temporairement inutilisables !	{color(7)}Elementi Bianchi{color(0)} temporaneamente inutilizzabili!	{color(7)}Weiße Elemente{color(0)} vorübergehend gesperrt!	¡{color(7)}Elementos blancos{color(0)} sellados temporalmente!
52	一定時間　{color(1)}魔法攻撃力{color(0)}アップ	{color(1)}M. ATT.{color(0)} temporarily increased!	{color(1)}ATT. M.{color(0)} temporairement augmentée !	{color(1)}POT. MAG.{color(0)} aumentata temporaneamente!	{color(1)}M.ANG{color(0)} vorübergehend erhöht!	¡{color(1)}ATQM{color(0)} aumentado temporalmente!
53	一定時間　{color(1)}魔法攻撃力{color(0)}ダウン	{color(1)}M. ATT.{color(0)} temporarily decreased!	{color(1)}ATT. M.{color(0)} temporairement réduite !	{color(1)}POT. MAG.{color(0)} diminuita temporaneamente!	{color(1)}M.ANG{color(0)} vorübergehend gesenkt!	¡{color(1)}ATQM{color(0)} reducido temporalmente!
54	一定時間　エレメントのダメージが半分に	Element damage halved temporarily!	Dégâts d'éléments temporairement divisés par deux !	Danno Elementi temporaneamente dimezzato!	Schaden durch Elemente vorübergehend halbiert!	¡Daño elemental reducido a la mitad temporalmente!
55	一定時間　全てのエレメント使用不可	All Elements temporarily unusable!	Tous les éléments sont temporairement inutilisables !	Tutti gli Elementi temporaneamente inutilizzabili!	Sämtliche Elemente vorübergehend gesperrt!	¡Todos los elementos sellados temporalmente!
56	一定時間　{color(1)}攻撃力{color(0)}アップ　命中率９９％	{color(1)}ATK.{color(0)} temporarily increased, HIT%=99%!	{color(1)}ATT.{color(0)} temporairement augmentée, % RÉUS. = 99 % !	{color(1)}ATT.{color(0)} aumentato temporaneamente, PREC.=99%!	{color(1)}ANG{color(0)} vorübergehend erhöht; TRF% = 99%!	¡{color(1)}ATQ{color(0)} aumentado temporalmente y % de acierto al 99 %!
57	一定時間　{color(1)}防御力{color(0)}と{color(1)}魔法防御力{color(0)}アップ	{color(1)}DEF.{color(0)} and {color(1)}M. DEF.{color(0)} temporarily increased!	{color(1)}DÉF.{color(0)} et {color(1)}DÉF. M.{color(0)} temporairement augmentées !	{color(1)}DIF.{color(0)} e {color(1)}DIF. MAG.{color(0)} aumentate temporaneamente!	{color(1)}ABW{color(0)} und {color(1)}M.ABW{color(0)} vorübergehend erhöht!	¡{color(1)}DEF{color(0)} y {color(1)}DEFM{color(0)} aumentadas temporalmente!
58	一定時間　{color(1)}全ての力{color(0)}がアップ	{color(1)}All powers{color(0)} temporarily increased!	{color(1)}Tous les pouvoirs {color(0)} temporairement augmentés !	{color(1)}Tutti i parametri{color(0)} aumentati temporaneamente!	{color(1)}Alle Kräfte{color(0)} vorübergehend erhöht!	¡{color(1)}Todos los poderes{color(0)} aumentados temporalmente!
59	一定時間　{color(1)}攻撃力{color(0)}と{color(1)}魔法攻撃力{color(0)}アップ	{color(1)}ATK.{color(0)} and {color(1)}M. ATT.{color(0)} temporarily increased!	{color(1)}ATT.{color(0)} et {color(1)}ATT. M.{color(0)} temporairement augmentées !	{color(1)}ATT.{color(0)} e {color(1)}POT. MAG.{color(0)} aumentati temporaneamente!	{color(1)}ANG{color(0)} und {color(1)}M.ANG{color(0)} vorübergehend erhöht!	¡{color(1)}ATQ{color(0)} y {color(1)}ATQM{color(0)} aumentados temporalmente!
